observed_at,bar_start,bar_end,bar_timeframe,pair,close,buy_volume,sell_volume,volume,delta,delta_direction,speed_score,prior_speed_score,speed_change_pct,speed_change_ratio,speed_lifecycle,eligible_for_paper_entry,flow_ready,flow_reason,record_type,source_event_key,delta_norm
2026-08-13T06:30:58.320678+00:00,1786602300,1786602600,5m,ADA/USD,0.183925,3830.2837704,27.17391304,3857.45768344,3803.1098573599998,UP,0.9859109728375467,0.24987579695715562,294.56041154982034,3.945604115498204,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,ADA/USD|5m|1786602300,0.98591097
2026-08-13T06:30:58.320693+00:00,1786602300,1786602600,5m,DOGE/USD,0.070554,0.0,4269.70225019,4269.70225019,-4269.70225019,DOWN,1.0,0.5000688959241932,99.97244542711823,1.9997244542711823,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,DOGE/USD|5m|1786602300,1.0
2026-08-13T06:36:02.744123+00:00,1786602600,1786602900,5m,AAVE/USD,89.19,1.0,0.0,1.0,1.0,UP,1.0,0.5055161544591437,97.81761496225757,1.9781761496225756,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,AAVE/USD|5m|1786602600,1.0
2026-08-13T06:36:02.744139+00:00,1786602600,1786602900,5m,LTC/USD,44.94,31.763954870000003,0.08298553,31.8469404,31.680969340000004,UP,0.9947884770745513,0.18725673136826734,431.24310661930565,5.3124310661930565,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,LTC/USD|5m|1786602600,0.99478848
2026-08-13T06:36:48.436586+00:00,1786602600,1786602900,5m,AVAX/USD,6.516,206.6016962,41.27594607,247.87764227,165.32575013,UP,0.6669651551305277,0.20544258227768164,224.6479613603376,3.246479613603376,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,AVAX/USD|5m|1786602600,0.66696516
2026-08-13T06:40:36.747092+00:00,1786602900,1786603200,5m,BTC/USD,63705.1,0.10899435000000002,0.5171029799999999,0.62609733,-0.40810862999999986,DOWN,0.6518293729187439,0.30109946303164764,116.48307385066047,2.1648307385066046,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,BTC/USD|5m|1786602900,0.65182937
2026-08-13T06:40:36.747122+00:00,1786602900,1786603200,5m,XRP/USD,1.01113,1026.72636835,4687.94933171,5714.67570006,-3661.2229633599995,DOWN,0.6406702944353534,0.49010281453281107,30.721610943220206,1.3072161094322021,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,XRP/USD|5m|1786602900,0.64067029
2026-08-13T06:40:51.986326+00:00,1786602900,1786603200,5m,AVAX/USD,6.524,200.26110989,8.14179202,208.40290191,192.11931787,UP,0.9218648882008746,0.6669651551305277,38.21784858017989,1.382178485801799,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,AVAX/USD|5m|1786602900,0.92186489
2026-08-13T06:40:51.986341+00:00,1786602900,1786603200,5m,DOT/USD,0.774,0.0,6.65374677,6.65374677,-6.65374677,DOWN,1.0,0.047721428935837966,1995.4946704226147,20.954946704226145,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,DOT/USD|5m|1786602900,1.0
2026-08-13T06:45:25.963763+00:00,1786603200,1786603500,5m,ETH/USD,1890.73,0.51774001,0.006720810000000001,0.52446082,0.5110192,UP,0.9743705926402662,0.23132169439450262,321.2188550627451,4.2121885506274515,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,ETH/USD|5m|1786603200,0.97437059
2026-08-13T06:45:25.963778+00:00,1786603200,1786603500,5m,XRP/USD,1.01107,5170.91358563,457.92226414,5628.83584977,4712.99132149,UP,0.8372941487861255,0.6406702944353534,30.69033417946497,1.3069033417946496,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,XRP/USD|5m|1786603200,0.83729415
2026-08-13T06:50:15.153206+00:00,1786603500,1786603800,5m,SOL/USD,76.35,159.55535978999998,12.584905489999999,172.14026528,146.97045429999997,UP,0.8537831288974761,0.5942318433685457,43.67845453343625,1.4367845453343626,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,SOL/USD|5m|1786603500,0.85378313
2026-08-13T06:50:15.153222+00:00,1786603500,1786603800,5m,BTC/USD,63744.2,1.79627826,0.03731277000000001,1.83359103,1.75896549,UP,0.9593008807422013,0.25407597546793165,277.56457649152276,3.7756457649152275,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,BTC/USD|5m|1786603500,0.95930088
2026-08-13T06:50:30.405808+00:00,1786603500,1786603800,5m,DOT/USD,0.7744,6.46250929,707.6150754400002,714.07758473,-701.1525661500002,DOWN,0.9818996998976143,0.6945771031662634,41.36655173652815,1.4136655173652815,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,DOT/USD|5m|1786603500,0.9818997
2026-08-13T06:55:50.079737+00:00,1786603800,1786604100,5m,ADA/USD,0.184343,8258.99296765,64.50422952,8323.49719717,8194.48873813,UP,0.9845006905169784,0.10404299698754162,846.2440712226553,9.462440712226552,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,ADA/USD|5m|1786603800,0.98450069
